id	broker_name	collected_by	center_name
185		Masonic Village Elizabethtown	SUB10035562
186		AMI Eldred Township Community Center	SUB10035562
187		Berks County Prison	SUB10035562
188		Mount Nittany Medical Center	SUB10035562
189		Columbia County Prison	SUB10035562
190		AMI Northampton Community Center	SUB10035562
191		New Hope Gracious Personal Care Home	SUB10035562
192		Allentown Health Bureau	SUB10035562
193		AMI Shippensburg University	SUB10035562
194		AMI DelCo CBTS	SUB10035562
195		Quality of Life Learning Center/JFK/BTW	SUB10035562
196		AMI Pocono Mountain VFC	SUB10035562
198		Harrison Senior Living of Coatesville	SUB10035562
199		Bureau of Epidemiology PA Dept of Health	SUB10035562
200		Associated Clinical Laboratories	SUB10035562
201		Geisinger Medical Center	SUB10035562
202		SCI-Smithfield	SUB10035562
203		PTF - South Fort Indiantown Gap	SUB10035562
204		Lehigh University Health &amp; Wellness Center	SUB10035562
205		Elk County Prison	SUB10035562
206		Hospice of Central PA	SUB10035562
207		St. Luke&apos;s University Health Network	SUB10035562
208		Quest Diagnostics	SUB10035562
209		Lebanon VA Medical Center	SUB10035562
210		Heritage Valley Health System	SUB10035562
211		Quest DIagnostics	SUB10035562
212		Star Community Health	SUB10035562
213		Erie County Prison	SUB10035562
214		Allegheny County Health Department	SUB10035562
215		SCI Camp Hill	SUB10035562
216		Pennsylvania International Academy	SUB10035562
217		Armstrong Co. Memorial Hospital	SUB10035562
218		Evangelical Community Hospital	SUB10035562
219		SCI Coal Township	SUB10035562
220		University of Pittsburgh Med Center	SUB10035562
221		AMI Pike Co Welcome Center	SUB10035562
222		Brookside Clinical Laboratory Inc	SUB10035562
223		Ebensburg Center	SUB10035562
224		Hopkins Center	SUB10035562
225		IHM Congregation of the Sisters	SUB10035562
226		Lycoming County Prison	SUB10035562
227		Our Orangeville Manor Personal Care Home	SUB10035562
228		Polk Center	SUB10035562
229		PADOH Quality Assurance - Johnstown	SUB10035562
230		St. Joseph Institute LLC	SUB10035562
231		Delaware Public Health Lab	SUB10038679
232		North Carolina State Laboratory of Public Health	SUB10045773
233		Texas Department of State Health Services	SUB10046758
234		Smorodintsev Research Institute of Influenza	SUB10053002
235		New Mexico Department of Health Scientific Laboratory	SUB10053927
236		Public Health Laboratory	SUB10055278
237		Institute for Developing Science and Health Initiatives (ideSHi)	SUB10058579
238		North Carolina State Laboratory of Public Health	SUB10059043
239		Utah Public Health Laboratory	SUB10059128
240		Institute for Developing Science and Health Initiatives (ideSHi)	SUB10063800
241		Texas Department of State Health Services	SUB10064336
242		Utah Public Health Laboratory	SUB10065009
243		New Mexico Department of Health Scientific Laboratory	SUB10069968
244		New Mexico Department of Health Scientific Laboratory	SUB10070023
245		New Mexico Department of Health Scientific Laboratory	SUB10070039
246		Utah Public Health Laboratory	SUB10077141
247		Utah Public Health Laboratory	SUB10077184
248		CDPHE	SUB10077302
249		Prof Omar-WITS	SUB10083473
250		AHRI- Alex Sigal lab (Sandile)	SUB10083473
251		Netcare	SUB10083473
252		National Health Laboratory Service	SUB10083473
253		University of Pretoria	SUB10083473
254		Africa Centres for Disease Control and Prevention	SUB10083618
255		Texas Department of State Health Services	SUB10085703
256		University of Virginia Health System	SUB10086913
257		Pennsylvania Department of Health Bureau of Laboratories	SUB10098512
258		University of Virginia Health System	SUB10099528
259		Utah Public Health Laboratory	SUB10099538
260		Utah Public Health Laboratory	SUB10099983
261		North Carolina State Laboratory of Public Health	SUB10104594
262		Utah Public Health Laboratory	SUB10104863
263		New Mexico Department of Health Scientific Laboratory	SUB10105312
264		Texas Department of State Health Services	SUB10107757
265		National Health Laboratory Service	SUB10115517
266		CEA, Fontenay-aux-roses	SUB10116277
267		Texas Department of State Health Services	SUB10116510
268		Hackensack Meridian Health	SUB10118090
269		PanGenomics International Pvt. Ltd., Ahmedabad	SUB10121415
270		NHL Medical College, Ahmedabad	SUB10121438
271		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10121438
272		GMERS, Medical College, Gotri	SUB10121438
273		Neuberg Supratech Reference Laboratory, Surat	SUB10121438
274		PanGenomics International Pvt. Ltd., Ahmedabad	SUB10121438
275		GMERS, Government Medical College, Himmatnagar	SUB10121438
276		BJ Medical College Ahmedabad	SUB10121438
277		CDPHE	SUB10125993
278		Laboratoire de Sante publique du Quebec (INSPQ)	SUB10126025
279		Laboratoire de Sante publique du Quebec (INSPQ)	SUB10126399
280			SUB10127861
281		GMERS Medical College, Valsad	SUB10127899
282		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10127899
283		Neuberg Supratech Reference Laboratory, Surat	SUB10127899
284		College of Veterinary Science and A.H Dantiwada	SUB10127899
285		BJ Medical College, Ahmedabad	SUB10127899
286		Banas Medical College &amp; Research Institute (BMCRI), Palanpur	SUB10127899
287		Government Medical College Surat	SUB10128116
288		Texas Department of State Health Services	SUB10128570
289		North Carolina State Laboratory of Public Health	SUB10128624
290		NYU Langone Health	SUB10129441
291		Utah Public Health Laboratory	SUB10131018
292		GMERS Medical College, Valsad	SUB10133205
293		Neuberg Supratech Refrence Laboratory, Surat	SUB10133205
294		Supratech Micropath Laboratory Research Institute Pvt Ltd, Ahmedabad	SUB10133205
295		College of veterinary Science and A.H Dantiwada	SUB10133205
296		Banas Medical College &amp; Research Institute (BMCRI), Palanpur	SUB10133205
297		BJ Medical College, Ahmedabad	SUB10133205
298		Utah Public Health Laboratory	SUB10137009
299		New Mexico Department of Health Scientific Laboratory	SUB10141956
300		LBM/UFPB	SUB10145848
301		IMT-UFRN/RN	SUB10145848
302		LAFEM/UESC	SUB10145848
303		Laboratorio HLA/UERJ	SUB10145848
304		North Carolina State Laboratory of Public Health	SUB10146355
305		University of Wisconsin Healthcare	SUB10146787
306		NIID Japan	SUB10146787
307		Texas Department of State Health Services	SUB10147624
308		Government Medical College (GMC), Surat	SUB10162714
309		BIOQUAL	SUB10163115
310		Laboratoire de Sante publique du Quebec (INSPQ)	SUB10164677
311		Texas Department of State Health Services	SUB10165600
312		N.H.L Municipal Medical College, Ahmedabad	SUB10166446
313		GMERS Medical College, Gotri	SUB10166446
314		Government Medical College Surat	SUB10166446
315		VRDL, Goverment Medical College, Surat	SUB10166446
316		NHL Municipal Medical College, Ahmedbad	SUB10166446
317		VRDL,Goverment Medical College, Surat	SUB10166446
318		VRDL,Goverment Medical College Surat	SUB10166446
319		GMER Medical College, Himmatnagar	SUB10166446
320		Government Medical College (GMC), Surat	SUB10166446
321		GMERS Medical College, Gandhinagar	SUB10166446
322		Laboratoire de Sante publique du Quebec (INSPQ)	SUB10167426
323		ICPMR	SUB10169691
324		New Mexico Department of Health Scientific Laboratory	SUB10175418
325		AHRI	SUB10177809
326		Texas Department of State Health Services	SUB10180267
327		New Mexico Department of Health Scientific Laboratory	SUB10180345
328		JUST-Genome Center	SUB10184921
329		Pennsylvania Department of Health Bureau of Laboratories	SUB10185787
330		Alameda County Public Health Lab	SUB10185842
331		County of San Luis Obispo Public Health Laboratory	SUB10185842
332		San Francisco Public Health Laboratory	SUB10185842
333		Santa Clara County Public Health Laboratory	SUB10185842
334		Orange County Public Health Lab	SUB10185842
335		The Ashley Laboratory, Stanford University	SUB10185842
336		UCSF Clinical Microbiology Laboratory	SUB10185842
337		Madera County Department of Public Health	SUB10185842
338		Contra Costa County Public Health Lab	SUB10185842
339		Tulare County Public Health Lab	SUB10185842
340		UC Davis- Department of Pathology and Laboratory Medicine	SUB10185842
341		Napa-Solano-Yolo- Marin County (NSYM) Public Health Laboratories	SUB10185842
342		Humboldt County Public Health Laboratory	SUB10185842
343		CA DPH Viral and Rickettsial Disease Laboratory	SUB10185842
344		Fresno County Public Health Laboratory	SUB10185842
345		California Institute of Technology	SUB10185842
346		Texas Department of State Health Services	SUB10187234
347		Contra Costa County Public Health Lab	SUB10187539
348		Santa Clara County Public Health Laboratory	SUB10187539
349		Humboldt County Public Health Laboratory	SUB10187539
350		UC Davis- Department of Pathology and Laboratory Medicine	SUB10187539
351		Orange County Public Health Lab	SUB10187539
352		Ventura County Public Health Lab	SUB10187539
353		Alameda County Public Health Lab	SUB10187539
354		San Joaquin County Public Health Lab	SUB10187539
355		UCSF Clinical Microbiology Laboratory	SUB10187539
356		Monterey County Public Health Lab	SUB10187539
357		Renegade	SUB10187539
358		San Bernardino County Public Health Lab	SUB10187539
359		Humboldt County Public Health Laboratory	SUB10187640
360		Santa Clara County Public Health Laboratory	SUB10187640
361		Alameda County Public Health Lab	SUB10187640
362		Orange County Public Health Lab	SUB10187640
363		CA DPH Viral and Rickettsial Disease Laboratory	SUB10187640
364		UCSF Clinical Microbiology Laboratory	SUB10187640
365		San Francisco Public Health Laboratory	SUB10187640
366		San Joaquin County Public Health Lab	SUB10187640
367		County of San Luis Obispo Public Health Laboratory	SUB10187640
368		Contra Costa County Public Health Lab	SUB10187640
369		California Institute of Technology	SUB10187640
370		Fresno County Public Health Laboratory	SUB10187640
371		Santa Clara County Public Health Laboratory	SUB10187736
372		Alameda County Public Health Lab	SUB10187736
373		Ventura County Public Health Lab	SUB10187736
