table_name	column_name	description
vcf	hrun	Homopolymer length to the right of report indel position
vcf	indel	Indicates that the variant is an INDEL
vcf	lof	Predicted loss of function effects for this variant
vcf	nmd	NMD
vcf	major	In case of Nanopore data this indicates if the mutation is real 
vcf	ann_num	Number of annotation (this is 1 everywhere)
vcf	annotation	Annotation
vcf	annotation_impact	Annotation Impact
vcf	gene_name	Gene Name
vcf	gene_id	Gene ID
vcf	feature_type	Feature Type
vcf	transcript_biotype	Transcript BioType
vcf	rank_	Rank
vcf	hgvs_c	HGVS.c
vcf	cdna_pos__cdna_length	cDNA.pos / cDNA.length
vcf	cds_pos__cds_length	CDS.pos / CDS.length
vcf	aa_pos__aa_length	AA.pos / AA.length
vcf	distance	Distance
vcf	errors_warnings_info	ERRORS / WARNINGS / INFO
vcf_all	ena_run	ENA Run ID
vcf_all	chrom	Chromosome (in this case this is the same everywhere)
vcf_all	pos	Position on the SARS-CoV-2 reference sequence
vcf_all	ref	Reference allel
vcf_all	alt	Alternate allel
vcf_all	qual	Quality
vcf_all	filter	Filter
vcf_all	dp	Raw Depth
vcf_all	af	Allele Frequency
vcf_all	sb	Phred-scaled strand bias at this position
vcf_all	count_ref_forward_base	Counts for ref-forward bases
vcf_all	count_ref_reverse_base	Counts for ref-reverse
vcf_all	count_alt_forward_base	Counts for alt-forward
vcf_all	count_alt_reverse_base	Counts for alt-reverse bases
vcf_all	hrun	Homopolymer length to the right of report indel position
vcf_all	indel	Indicates that the variant is an INDEL
vcf_all	lof	Predicted loss of function effects for this variant
vcf_all	nmd	NMD
vcf_all	major	In case of Nanopore data this indicates if the mutation is real 
vcf_all	ann_num	Number of annotation (this is 1 everywhere)
vcf_all	annotation	Annotation
vcf_all	annotation_impact	Annotation Impact
vcf_all	gene_name	Gene Name
vcf_all	gene_id	Gene ID
vcf_all	feature_type	Feature Type
vcf_all	transcript_biotype	Transcript BioType
vcf_all	rank_	Rank
vcf_all	hgvs_c	HGVS.c
vcf_all	cdna_pos__cdna_length	cDNA.pos / cDNA.length
vcf_all	cds_pos__cds_length	CDS.pos / CDS.length
vcf_all	aa_pos__aa_length	AA.pos / AA.length
vcf_all	distance	Distance
vcf_all	errors_warnings_info	ERRORS / WARNINGS / INFO
lineage_def	variant_id	WHO variant ID
lineage_def	pango	 Pango lineage ID
lineage_def	type_varinant	 Type of variant (VOC, VOI)
lineage_def	amino_acid_change	 Reference amino acid + Position + Alternate amino acid
lineage_def	protein_codon_position	 Protein codon position
lineage_def	ref_protein	 Reference amino acid 
lineage_def	alt_protein	 Alternate amino acid
lineage_def	gene	 Gene
lineage_def	effect	 Effect (eg. Missense variant)
lineage_def	snpeff_original_mut	 -
lineage_def	ref_pos_alt	Reference allel + Position + Alternate allel
lineage_def	ref	Reference allel
lineage_def	alt	Alternate allel
lineage_def	pos	Position on the SARS-CoV-2 reference sequence
lineage_def	description	Description of the variant
unique_cov	insertion_ts	Date and time when the sample was inserted into the database
unique_cov	ena_run	ENA Run ID
unique_cov	snapshot	ID of biweekly snapshot
unique_cov	integrity	Integrity
unique_vcf	insertion_ts	Date and time when the sample was inserted into the database
unique_vcf	ena_run	ENA Run ID
unique_vcf	snapshot	ID of biweekly snapshot
unique_vcf	integrity	Integrity
primer_artic_v3	chrom	Reference chromosom
primer_artic_v3	start	Starting position of the primer (counting starts from 1)
primer_artic_v3	end	End position of the primer
primer_artic_v3	name	Name of primer
primer_artic_v3	primerpool	Primer pool (1/2)
primer_artic_v3	strand	Strand(+/-)
primer_artic_v3	sequence	Sequence where the primer binds
primer_artic_v4	chrom	Reference chromosom
primer_artic_v4	start	Starting position of the primer (counting starts from 1)
primer_artic_v4	end	End position of the primer
primer_artic_v4	name	Name of primer
primer_artic_v4	primerpool	Primer pool (1/2)
primer_artic_v4	strand	Strand(+/-)
primer_artic_v4	sequence	Sequence where the primer binds
pcr_primers	target_gene	Target gene
pcr_primers	origin	Developer
pcr_primers	country	Country
pcr_primers	type	Type (F/R)
pcr_primers	primer_name	Name of the primer (simple form)
pcr_primers	original_primer_name	Original name of the primer
pcr_primers	sequence	Target sequence of the primer
pcr_primers	position_start	Starting position where the primer binds
pcr_primers	position_end	End position where the primer binds
pcr_primers	primer_size	Size of the primer (bp)
pcr_primers	reference_genome	Reference genome
pcr_primers	update_time	Time of update
pcr_primers	doi	DOI of the publication where the primer was used
pcr_primers	publication	The publication where the primer was used
pcr_primers	other_reference	Other references
